    ,visit_id         ,site_url                        ,site_rank ,complete ,banners ,interaction    ,clicked        ,count_fp ,count_tp ,count_tr
 77 ,1280782962631736 ,https://logitech.com            ,       77 ,True     ,      0 ,No interaction ,No interaction ,      49 ,      60 ,      32
 78 ,6270645881588331 ,https://algolianet.com          ,       78 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      69 ,      15
 79 ,4377359568972844 ,https://seekingalpha.com        ,       79 ,True     ,      1 ,No interaction ,No interaction ,      30 ,       4 ,       0
 80 ,7990197071055023 ,https://ico.org.uk              ,       80 ,True     ,      1 ,No interaction ,No interaction ,       1 ,       0 ,       0
 81 ,5890641236437465 ,https://playrix.com             ,       81 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       0 ,       0
 82 , 562232086439072 ,https://cancer.org              ,       82 ,True     ,      1 ,No interaction ,No interaction ,      31 ,      59 ,      35
 83 ,2209261615946183 ,https://smugmug.com             ,       83 ,True     ,      1 ,No interaction ,No interaction ,       2 ,       0 ,       0
 84 ,8458266628583874 ,https://inmobi.com              ,       84 ,True     ,      1 ,No interaction ,No interaction ,      10 ,       9 ,       2
 85 ,3434209130563148 ,https://thomsonreuters.com      ,       85 ,True     ,      1 ,No interaction ,No interaction ,      35 ,      43 ,      25
 86 ,1572530416615472 ,https://zend.com                ,       86 ,True     ,      1 ,No interaction ,No interaction ,      23 ,      11 ,       3
 87 ,3569607604780860 ,https://thawte.com              ,       87 ,True     ,      1 ,No interaction ,No interaction ,      21 ,      10 ,       4
 88 ,4428700519983282 ,https://allrecipes.com          ,       88 ,True     ,      0 ,No interaction ,No interaction ,      27 ,     149 ,     130
 89 ,6759948230694029 ,https://cell.com                ,       89 ,True     ,      1 ,No interaction ,No interaction ,      10 ,       1 ,       1
 90 ,2835250400829744 ,https://lifewire.com            ,       90 ,True     ,      0 ,No interaction ,No interaction ,      28 ,     128 ,     114
 91 ,2336003558602206 ,https://strava.com              ,       91 ,True     ,      1 ,No interaction ,No interaction ,       5 ,       1 ,       0
 92 ,6764177551456589 ,https://broadcom.com            ,       92 ,True     ,      1 ,No interaction ,No interaction ,       7 ,       1 ,       0
 93 ,6197285452039282 ,https://adweek.com              ,       93 ,True     ,      1 ,No interaction ,No interaction ,      39 ,      74 ,      64
 94 ,8630867251445845 ,https://docusign.com            ,       94 ,True     ,      1 ,No interaction ,No interaction ,      18 ,      35 ,      15
 95 ,6562213091736787 ,https://grserver.gr             ,       95 ,True     ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
 96 ,7181522219740104 ,https://pcworld.com             ,       96 ,True     ,      0 ,No interaction ,No interaction ,      39 ,      83 ,      68
 97 ,7087445103984829 ,https://segment.io              ,       97 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      51 ,      39
 98 ,2053129277976393 ,https://mastercard.com          ,       98 ,True     ,      1 ,No interaction ,No interaction ,       0 ,       4 ,       0
 99 ,2949864268728233 ,https://coe.int                 ,       99 ,True     ,      1 ,No interaction ,No interaction ,       9 ,       0 ,       0
100 ,3047178140377638 ,https://yumpu.com               ,      100 ,False    ,      1 ,No interaction ,No interaction ,       3 ,       0 ,       0
101 ,7020824001963392 ,https://tribalfusion.com        ,      101 ,True     ,      1 ,No interaction ,No interaction ,       0 ,      14 ,       1
102 ,6738907552004022 ,https://innovid.com             ,      102 ,True     ,      1 ,No interaction ,No interaction ,       8 ,      17 ,      11
103 ,1932459598494654 ,https://epam.com                ,      103 ,True     ,      1 ,No interaction ,No interaction ,      24 ,       6 ,       0
104 ,8943678383827954 ,https://ap.org                  ,      104 ,True     ,      1 ,No interaction ,No interaction ,      13 ,      14 ,       3
105 ,8080644065415224 ,https://flightradar24.com       ,      105 ,False    ,      1 ,No interaction ,No interaction ,      14 ,       8 ,       4
106 ,1390526569016120 ,https://thomsonreuters.net      ,      106 ,False    ,      0 ,No interaction ,No interaction ,       0 ,       0 ,       0
107 ,4070368110998670 ,https://gog.com                 ,      107 ,True     ,      1 ,No interaction ,No interaction ,       3 ,       1 ,       0
108 ,2959663543164908 ,https://dxc.com                 ,      108 ,True     ,      1 ,No interaction ,No interaction ,      27 ,      12 ,      11
109 ,7490487002777578 ,https://verywellmind.com        ,      109 ,True     ,      0 ,No interaction ,No interaction ,      24 ,      36 ,      24
110 ,6725731151908367 ,https://king.com                ,      110 ,True     ,      1 ,No interaction ,No interaction ,       6 ,       0 ,       0
111 ,4464750416091216 ,https://segment.com             ,      111 ,True     ,      0 ,No interaction ,No interaction ,      38 ,      13 ,       1
112 ,8028269125130730 ,https://tvsquared.com           ,      112 ,False    ,      1 ,No interaction ,No interaction ,       0 ,      26 ,      19
113 ,4346751018600311 ,https://avg.com                 ,      113 ,True     ,      1 ,No interaction ,No interaction ,      21 ,      38 ,      37
114 ,3140098187472010 ,https://uefa.com                ,      114 ,False    ,      1 ,No interaction ,No interaction ,      16 ,       4 ,       0
